Epoch,Train_Loss,Val_Loss,Accuracy,Time
1,1.20842,0.77187,58.633,29.946
2,1.25393,0.84892,60.700,30.440
3,1.25177,0.79282,56.633,30.423
4,1.26601,1.16211,52.400,30.425
5,1.25499,1.15976,57.500,30.435
6,1.25361,0.86228,60.300,30.134
7,1.26016,0.84045,59.933,30.089
8,1.27374,0.77088,60.367,29.843
9,1.25330,0.86417,58.300,29.247
10,1.24620,1.11656,51.333,28.956
11,1.27823,1.50932,55.833,29.744
12,1.25557,0.93229,59.767,29.582
13,1.25877,0.79817,60.500,30.103
14,1.27259,0.94494,57.367,29.891
15,1.26642,1.34842,51.533,29.824
16,1.27200,1.17023,57.133,29.900
17,1.25737,0.88923,60.633,29.886
18,1.24896,0.76007,61.200,29.823
19,1.27163,0.76544,61.267,30.087
20,1.26491,0.99557,57.767,30.002
21,1.25824,1.06247,58.167,29.993
22,1.25059,1.17198,51.833,29.869
23,1.25793,0.76645,63.133,30.092
24,1.25139,1.11799,57.600,30.008
25,1.28446,0.78134,60.367,29.810
26,1.26465,1.13998,57.133,29.995
27,1.25808,0.81623,62.433,29.844
28,1.26977,0.84318,57.667,29.805
29,1.27593,1.18224,57.333,29.450
30,1.25279,0.74905,61.500,29.855
31,1.27659,1.65582,55.100,29.909
32,1.25803,0.76570,62.567,29.616
33,1.26213,0.95128,57.600,29.305
34,1.27150,1.02136,52.500,29.669
35,1.27264,1.35670,52.633,29.329
36,1.28031,1.12249,53.767,29.313
37,1.26523,1.52755,51.967,30.140
38,1.25604,0.76144,61.167,30.132
39,1.25115,0.86298,61.067,30.011
40,1.25697,0.86084,60.900,30.101
41,1.27116,0.92655,60.167,30.092
42,1.25959,0.76020,60.800,29.909
43,1.25569,0.87319,60.367,30.108
44,1.26623,0.71564,62.267,30.092
45,1.26165,0.82758,60.400,30.088
46,1.29911,1.30466,56.467,30.104
47,1.27238,0.87554,60.433,30.109
48,1.25382,0.85754,59.133,29.716
49,1.27320,1.61193,56.233,28.750
50,1.24547,0.76024,60.700,29.932
51,1.25764,1.19736,52.967,29.951
52,1.27667,1.16937,56.133,29.795
53,1.25943,1.21375,57.933,29.300
54,1.29002,1.30723,56.367,28.660
55,1.25330,0.75717,63.033,29.695
56,1.26255,0.82115,61.800,29.565
57,1.25908,0.82680,60.800,29.033
58,1.25543,1.03235,54.767,29.272
59,1.25176,0.83090,59.867,29.632
60,1.27163,1.72363,55.033,29.701
61,1.26694,0.78340,60.867,29.641
62,1.26689,0.80465,60.900,30.025
63,1.25999,1.01533,58.500,30.021
64,1.27867,2.02675,48.567,30.020
65,1.28309,1.82651,49.533,30.006
66,1.26969,1.66400,50.267,30.000
67,1.26891,0.82742,57.767,30.027
68,1.26720,0.83632,60.000,30.002
69,1.25937,0.79335,59.267,30.005
70,1.25542,0.82226,61.300,29.893
71,1.25937,1.02278,54.200,29.093
72,1.28068,0.78513,62.067,29.205
73,1.25143,0.76358,62.033,29.218
74,1.26782,1.75076,49.933,29.191
75,1.26779,0.79398,61.300,28.938
76,1.25376,0.79350,59.733,28.885
77,1.25145,0.77733,61.167,29.031
78,1.27375,0.89235,58.667,29.052
79,1.27818,1.03050,58.667,29.074
80,1.28779,1.04357,54.067,29.041
81,1.28035,0.91401,60.367,29.064
82,1.26520,0.86552,59.167,29.046
83,1.26178,1.11579,55.367,29.052
84,1.27071,0.99763,59.733,29.062
85,1.26438,0.78767,62.600,29.058
86,1.26372,0.94554,57.033,29.047
87,1.24770,2.06757,54.300,29.043
88,1.26779,0.77041,62.033,29.054
89,1.27200,0.72950,62.867,28.957
90,1.24198,0.77008,60.333,28.798
91,1.27324,0.80250,59.300,28.795
92,1.27163,1.07843,59.667,29.025
93,1.26839,0.83970,59.533,28.991
94,1.26325,0.84659,59.733,28.562
95,1.26607,0.96625,59.433,28.541
96,1.26145,1.23865,57.067,30.100
97,1.26576,0.76400,61.500,29.957
98,1.26729,0.77434,62.167,29.170
99,1.26215,0.76587,60.800,29.151
100,1.26395,1.01965,55.167,29.147
